y,z,theta
0.82258065,0.50000000,5.425490007870e-01
0.85483871,0.50000000,5.371180242722e-01
0.88709677,0.50000000,5.312831292032e-01
0.91935484,0.50000000,5.247307829666e-01
0.95161290,0.50000000,5.174582223525e-01
0.98387097,0.50000000,5.099787880364e-01
1.00000000,0.50000000,5.000000000000e-01
0.00000000,0.53225806,1.000000000000e+00
0.01612903,0.53225806,9.360411721814e-01
0.04838710,0.53225806,8.982454294110e-01
0.08064516,0.53225806,8.605434168573e-01
0.11290323,0.53225806,8.275044418211e-01
0.14516129,0.53225806,7.984921090719e-01
0.17741935,0.53225806,7.724868603711e-01
0.20967742,0.53225806,7.488598060633e-01
0.24193548,0.53225806,7.272240951184e-01
0.27419355,0.53225806,7.073543729079e-01
0.30645161,0.53225806,6.891217796165e-01
0.33870968,0.53225806,6.724419161823e-01
0.37096774,0.53225806,6.572394824605e-01
0.40322581,0.53225806,6.434297495593e-01
0.43548387,0.53225806,6.309132870671e-01
0.46774194,0.53225806,6.195788809720e-01
0.50000000,0.53225806,6.093099663746e-01
0.53225806,0.53225806,5.999911872167e-01
0.56451613,0.53225806,5.915131389825e-01
0.59677419,0.53225806,5.837744962877e-01
0.62903226,0.53225806,5.766815050332e-01
0.66129032,0.53225806,5.701452443014e-01
0.69354839,0.53225806,5.640770055867e-01
0.72580645,0.53225806,5.583839567221e-01
0.75806452,0.53225806,5.529627977162e-01
0.79032258,0.53225806,5.477139719054e-01
0.82258065,0.53225806,5.424924321936e-01
0.85483871,0.53225806,5.370756740929e-01
0.88709677,0.53225806,5.312532854596e-01
0.91935484,0.53225806,5.247117813045e-01
0.95161290,0.53225806,5.174476937140e-01
0.98387097,0.53225806,5.099749795681e-01
1.00000000,0.53225806,5.000000000000e-01
0.00000000,0.56451613,1.000000000000e+00
0.01612903,0.56451613,9.358815671292e-01
0.04838710,0.56451613,8.979748290799e-01
0.08064516,0.56451613,8.601545783152e-01
0.11290323,0.56451613,8.270120456927e-01
0.14516129,0.56451613,7.979147799123e-01
0.17741935,0.56451613,7.718432637018e-01
0.20967742,0.56451613,7.481692899820e-01
0.24193548,0.56451613,7.265059840630e-01
0.27419355,0.56451613,7.066264179279e-01
0.30645161,0.56451613,6.883988133166e-01
0.33870968,0.56451613,6.717352136880e-01
0.37096774,0.56451613,6.565569241715e-01
0.40322581,0.56451613,6.427765675206e-01
0.43548387,0.56451613,6.302930305984e-01
0.46774194,0.56451613,6.189942677804e-01
0.50000000,0.56451613,6.087634214656e-01
0.53225806,0.56451613,5.994850278452e-01
0.56451613,0.56451613,5.910494789763e-01
0.59677419,0.56451613,5.833549995164e-01
0.62903226,0.56451613,5.763071110826e-01
0.66129032,0.56451613,5.698159822274e-01
0.69354839,0.56451613,5.637919059846e-01
0.72580645,0.56451613,5.581412261788e-01
0.75806452,0.56451613,5.527598024135e-01
0.79032258,0.56451613,5.475485066127e-01
0.82258065,0.56451613,5.423600446738e-01
0.85483871,0.56451613,5.369738471033e-01
0.88709677,0.56451613,5.311789663784e-01
0.91935484,0.56451613,5.246621993853e-01
0.95161290,0.56451613,5.174185858940e-01
0.98387097,0.56451613,5.099624912753e-01
1.00000000,0.56451613,5.000000000000e-01
0.00000000,0.59677419,1.000000000000e+00
0.01612903,0.59677419,9.355991694918e-01
0.04838710,0.59677419,8.975006079587e-01
0.08064516,0.59677419,8.594727221137e-01
0.11290323,0.59677419,8.261492177092e-01
0.14516129,0.59677419,7.969048212297e-01
0.17741935,0.59677419,7.707200407963e-01
