x,Qr,Qc,Qt
0.88000000,7.635327807555e-001,2.702547629826e-001,1.033787543738e+000
0.89000000,7.528642060967e-001,2.722299243603e-001,1.025094130457e+000
0.90000000,7.423603344457e-001,2.748180906258e-001,1.017178425072e+000
0.91000000,7.320181243521e-001,2.780226132024e-001,1.010040737555e+000
0.92000000,7.218348694968e-001,2.818402972208e-001,1.003675166718e+000
0.93000000,7.118074373321e-001,2.862674096193e-001,9.980748469515e-001
0.94000000,7.019336665623e-001,2.913009392214e-001,9.932346057838e-001
0.95000000,6.922096755370e-001,2.969421761530e-001,9.891518516900e-001
0.96000000,6.826353672751e-001,3.029923498346e-001,9.856277171097e-001
0.97000000,6.732020773939e-001,3.074880113400e-001,9.806900887339e-001
0.98000000,6.639245090885e-001,3.085831235295e-001,9.725076326180e-001
0.99000000,6.539463983943e-001,3.126767877421e-001,9.666231861364e-001
1.00000000,6.485613614246e-001,3.356781330603e-001,9.842394944849e-001
