y,z,theta
0.17741935,0.27419355,7.883852025203e-01
0.20967742,0.27419355,7.691561553805e-01
0.24193548,0.27419355,7.518009549169e-01
0.27419355,0.27419355,7.358916030727e-01
0.30645161,0.27419355,7.211440200153e-01
0.33870968,0.27419355,7.073740287243e-01
0.37096774,0.27419355,6.944608939838e-01
0.40322581,0.27419355,6.823203808762e-01
0.43548387,0.27419355,6.708868330401e-01
0.46774194,0.27419355,6.601023798436e-01
0.50000000,0.27419355,6.499110204206e-01
0.53225806,0.27419355,6.402556799222e-01
0.56451613,0.27419355,6.310765637874e-01
0.59677419,0.27419355,6.223102949481e-01
0.62903226,0.27419355,6.138879850491e-01
0.66129032,0.27419355,6.057360619274e-01
0.69354839,0.27419355,5.977710659259e-01
0.72580645,0.27419355,5.899208775836e-01
0.75806452,0.27419355,5.820634317758e-01
0.79032258,0.27419355,5.740551405819e-01
0.82258065,0.27419355,5.657485610773e-01
0.85483871,0.27419355,5.569422006861e-01
0.88709677,0.27419355,5.473844885201e-01
0.91935484,0.27419355,5.367579759485e-01
0.95161290,0.27419355,5.253856110290e-01
0.98387097,0.27419355,5.137579548318e-01
1.00000000,0.27419355,5.000000000000e-01
0.00000000,0.30645161,1.000000000000e+00
0.01612903,0.30645161,9.374685151726e-01
0.04838710,0.30645161,9.026153079932e-01
0.08064516,0.30645161,8.683218578693e-01
0.11290323,0.30645161,8.394693135644e-01
0.14516129,0.30645161,8.150403471255e-01
0.17741935,0.30645161,7.938113498367e-01
0.20967742,0.30645161,7.749257501735e-01
0.24193548,0.30645161,7.577821947083e-01
0.27419355,0.30645161,7.419740090302e-01
0.30645161,0.30645161,7.272383694880e-01
0.33870968,0.30645161,7.134105046469e-01
0.37096774,0.30645161,7.003862616907e-01
0.40322581,0.30645161,6.880948873717e-01
0.43548387,0.30645161,6.764812572059e-01
0.46774194,0.30645161,6.654954406180e-01
0.50000000,0.30645161,6.550872036883e-01
0.53225806,0.30645161,6.452034792107e-01
0.56451613,0.30645161,6.357870507147e-01
0.59677419,0.30645161,6.267760266924e-01
0.62903226,0.30645161,6.181019624919e-01
0.66129032,0.30645161,6.096913466035e-01
0.69354839,0.30645161,6.014595338344e-01
0.72580645,0.30645161,5.933364952277e-01
0.75806452,0.30645161,5.851894997746e-01
0.79032258,0.30645161,5.768785506978e-01
0.82258065,0.30645161,5.682494160436e-01
0.85483871,0.30645161,5.590951212674e-01
0.88709677,0.30645161,5.491576111160e-01
0.91935484,0.30645161,5.381120047149e-01
0.95161290,0.30645161,5.263030008719e-01
0.98387097,0.30645161,5.142382859635e-01
1.00000000,0.30645161,5.000000000000e-01
0.00000000,0.33870968,1.000000000000e+00
0.01612903,0.33870968,9.385205211135e-01
0.04838710,0.33870968,9.043319926885e-01
0.08064516,0.33870968,8.707736040161e-01
0.11290323,0.33870968,8.425578544468e-01
0.14516129,0.33870968,8.186451774914e-01
0.17741935,0.33870968,7.978191427380e-01
0.20967742,0.33870968,7.792300028648e-01
0.24193548,0.33870968,7.622858938694e-01
0.27419355,0.33870968,7.465925579824e-01
0.30645161,0.33870968,7.319011016933e-01
0.33870968,0.33870968,7.180604482965e-01
0.37096774,0.33870968,7.049785981893e-01
0.40322581,0.33870968,6.925947687088e-01
0.43548387,0.33870968,6.808615500546e-01
0.46774194,0.33870968,6.697347546327e-01
0.50000000,0.33870968,6.591683488930e-01
0.53225806,0.33870968,6.491123548239e-01
0.56451613,0.33870968,6.395118481107e-01
0.59677419,0.33870968,6.303066873718e-01
0.62903226,0.33870968,6.214296083765e-01
0.66129032,0.33870968,6.128081097610e-01
0.69354839,0.33870968,6.043576540944e-01
0.72580645,0.33870968,5.960106006810e-01
0.75806452,0.33870968,5.876266696003e-01
0.79032258,0.33870968,5.790697451279e-01
0.82258065,0.33870968,5.701805815675e-01
0.85483871,0.33870968,5.607485511686e-01
0.88709677,0.33870968,5.505110594457e-01
0.91935484,0.33870968,5.391381502498e-01
0.95161290,0.33870968,5.269928505536e-01
0.98387097,0.33870968,5.145950191024e-01
1.00000000,0.33870968,5.000000000000e-01
0.00000000,0.37096774,1.000000000000e+00
0.01612903,0.37096774,9.392487073658e-01
0.04838710,0.37096774,9.055494911789e-01
0.08064516,0.37096774,8.725247980728e-01
0.11290323,0.37096774,8.447803977249e-01
0.14516129,0.37096774,8.212591683372e-01
0.17741935,0.37096774,8.007481019855e-01
0.20967742,0.37096774,7.823997751423e-01
0.24193548,0.37096774,7.656266145411e-01
0.27419355,0.37096774,7.500414917673e-01
0.30645161,0.37096774,7.354046417820e-01
0.33870968,0.37096774,7.215745986748e-01
0.37096774,0.37096774,7.084680993696e-01
0.40322581,0.37096774,6.960314368555e-01
0.43548387,0.37096774,6.842224417653e-01
0.46774194,0.37096774,6.730006007330e-01
0.50000000,0.37096774,6.623224604443e-01
0.53225806,0.37096774,6.521400088027e-01
0.56451613,0.37096774,6.424000081810e-01
0.59677419,0.37096774,6.330439386874e-01
0.62903226,0.37096774,6.240060269770e-01
0.66129032,0.37096774,6.152153314902e-01
0.69354839,0.37096774,6.065883213065e-01
0.72580645,0.37096774,5.980598179104e-01
0.75806452,0.37096774,5.894847131466e-01
0.79032258,0.37096774,5.807306822118e-01
0.82258065,0.37096774,5.716350911271e-01
0.85483871,0.37096774,5.619851285256e-01
0.88709677,0.37096774,5.515152885953e-01
0.91935484,0.37096774,5.398924414602e-01
